# field
#x y z t Bx By Bz Ex Ey Ez
0 0 -10 0 0 0 4.99138 0 0 0 
0 0 0 0 0 0 4.99174 0 0 0 
0 0 10 0 0 0 4.99207 0 0 0.02 
0 0 20 0 0 0 4.99238 0 0 0.02 
0 0 30 0 0 0 4.99268 0 0 0.02 
0 0 40 0 0 0 4.99295 0 0 0.02 
0 0 50 0 0 0 4.99321 0 0 0.02 
0 0 60 0 0 0 4.99346 0 0 0.02 
0 0 70 0 0 0 4.99369 0 0 0.02 
0 0 80 0 0 0 4.99391 0 0 0.02 
0 0 90 0 0 0 4.99411 0 0 0.02 
0 0 100 0 0 0 4.99431 0 0 0.02 
0 0 110 0 0 0 4.99449 0 0 0.02 
0 0 120 0 0 0 4.99467 0 0 0.02 
0 0 130 0 0 0 4.99483 0 0 0.02 
0 0 140 0 0 0 4.99499 0 0 0.02 
0 0 150 0 0 0 4.99513 0 0 0.02 
0 0 160 0 0 0 4.99527 0 0 0.02 
0 0 170 0 0 0 4.9954 0 0 0.02 
0 0 180 0 0 0 4.99553 0 0 0.02 
0 0 190 0 0 0 4.99565 0 0 0.02 
0 0 200 0 0 0 4.99576 0 0 0.02 
0 0 210 0 0 0 4.99587 0 0 0.02 
0 0 220 0 0 0 4.99597 0 0 0.02 
0 0 230 0 0 0 4.99606 0 0 0.02 
0 0 240 0 0 0 4.99615 0 0 0.02 
0 0 250 0 0 0 4.99624 0 0 0.02 
0 0 260 0 0 0 4.99632 0 0 0.02 
0 0 270 0 0 0 4.99639 0 0 0.02 
0 0 280 0 0 0 4.99647 0 0 0.02 
0 0 290 0 0 0 4.99653 0 0 0.02 
0 0 300 0 0 0 4.9966 0 0 0.02 
0 0 310 0 0 0 4.99666 0 0 0.02 
0 0 320 0 0 0 4.99671 0 0 0.02 
0 0 330 0 0 0 4.99676 0 0 0.02 
0 0 340 0 0 0 4.99681 0 0 0.02 
0 0 350 0 0 0 4.99686 0 0 0.02 
0 0 360 0 0 0 4.9969 0 0 0.02 
0 0 370 0 0 0 4.99694 0 0 0.02 
0 0 380 0 0 0 4.99698 0 0 0.02 
0 0 390 0 0 0 4.99701 0 0 0.02 
0 0 400 0 0 0 4.99704 0 0 0.02 
0 0 410 0 0 0 4.99707 0 0 0.02 
0 0 420 0 0 0 4.99709 0 0 0.02 
0 0 430 0 0 0 4.99711 0 0 0.02 
0 0 440 0 0 0 4.99713 0 0 0.02 
0 0 450 0 0 0 4.99715 0 0 0.02 
0 0 460 0 0 0 4.99716 0 0 0.02 
0 0 470 0 0 0 4.99718 0 0 0.02 
0 0 480 0 0 0 4.99718 0 0 0.02 
0 0 490 0 0 0 4.99719 0 0 0.02 
0 0 500 0 0 0 4.99719 0 0 0.02 
0 0 510 0 0 0 4.9972 0 0 0.02 
0 0 520 0 0 0 4.99719 0 0 0.02 
0 0 530 0 0 0 4.99719 0 0 0.02 
0 0 540 0 0 0 4.99718 0 0 0.02 
0 0 550 0 0 0 4.99718 0 0 0.02 
0 0 560 0 0 0 4.99716 0 0 0.02 
0 0 570 0 0 0 4.99715 0 0 0.02 
0 0 580 0 0 0 4.99713 0 0 0.02 
0 0 590 0 0 0 4.99711 0 0 0.02 
0 0 600 0 0 0 4.99709 0 0 0.02 
0 0 610 0 0 0 4.99707 0 0 0.02 
0 0 620 0 0 0 4.99704 0 0 0.02 
0 0 630 0 0 0 4.99701 0 0 0.02 
0 0 640 0 0 0 4.99698 0 0 0.02 
0 0 650 0 0 0 4.99694 0 0 0.02 
0 0 660 0 0 0 4.9969 0 0 0.02 
0 0 670 0 0 0 4.99686 0 0 0.02 
0 0 680 0 0 0 4.99681 0 0 0.02 
0 0 690 0 0 0 4.99676 0 0 0.02 
0 0 700 0 0 0 4.99671 0 0 0.02 
0 0 710 0 0 0 4.99666 0 0 0.02 
0 0 720 0 0 0 4.9966 0 0 0.02 
0 0 730 0 0 0 4.99653 0 0 0.02 
0 0 740 0 0 0 4.99647 0 0 0.02 
0 0 750 0 0 0 4.99639 0 0 0.02 
0 0 760 0 0 0 4.99632 0 0 0.02 
0 0 770 0 0 0 4.99624 0 0 0.02 
0 0 780 0 0 0 4.99615 0 0 0.02 
0 0 790 0 0 0 4.99606 0 0 0.02 
0 0 800 0 0 0 4.99597 0 0 0.02 
0 0 810 0 0 0 4.99587 0 0 0.02 
0 0 820 0 0 0 4.99576 0 0 0.02 
0 0 830 0 0 0 4.99565 0 0 0.02 
0 0 840 0 0 0 4.99553 0 0 0.02 
0 0 850 0 0 0 4.9954 0 0 0.02 
0 0 860 0 0 0 4.99527 0 0 0.02 
0 0 870 0 0 0 4.99513 0 0 0.02 
0 0 880 0 0 0 4.99499 0 0 0.02 
0 0 890 0 0 0 4.99483 0 0 0.02 
0 0 900 0 0 0 4.99467 0 0 0.02 
0 0 910 0 0 0 4.99449 0 0 0.02 
0 0 920 0 0 0 4.99431 0 0 0.02 
0 0 930 0 0 0 4.99411 0 0 0.02 
0 0 940 0 0 0 4.99391 0 0 0.02 
0 0 950 0 0 0 4.99369 0 0 0.02 
0 0 960 0 0 0 4.99346 0 0 0.02 
0 0 970 0 0 0 4.99321 0 0 0.02 
0 0 980 0 0 0 4.99295 0 0 0.02 
0 0 990 0 0 0 4.99268 0 0 0.02 
0 0 1000 0 0 0 4.99238 0 0 0.02 
0 0 1010 0 0 0 4.99207 0 0 0.02 
