#acc_paschen_factor density_factor volt density pressure N_not_eqm N_less_eqm N_eqm
1.257595825551508 0.014281821840579174 0.01909469491957853 2.285091494492668e-06 0.013585309162616268 8777 8777 291
1.9195823730000572 0.016553747362308625 0.03285609995207728 2.64859957796938e-06 0.01574643474950996 6965 6965 2578
1.8220536673718102 0.004363455017937948 0.010926822573210248 6.981528028700716e-07 0.004150652913721851 4134 4134 4364
1.708631354797122 0.01496720376100209 0.026946755877335513 2.3947526017603347e-06 0.014237265571773898 8271 8271 1850
1.0044395946784699 0.006556709453546063 0.00822442407741913 1.04907351256737e-06 0.006236944138511936 7821 7821 145
1.5503863150133084 0.005951480774859847 0.01177878859310386 9.522369239775755e-07 0.005661231963565735 6901 6901 2624
1.7615750116430156 0.019344404713470938 0.03424367436405092 3.0951047541553504e-06 0.01840099404213102 8306 8306 1726
1.6914415996042726 0.015530304986160677 0.027487099959553406 2.4848487977857084e-06 0.014772904814373293 8530 8530 1706
1.2303050143503365 0.003970875270038206 0.006874319252237815 6.353400432061129e-07 0.0037772189565045515 8646 8646 1344
1.3082844721803135 0.0019862230792259787 0.004432679451437674 3.1779569267615664e-07 0.001889356616992662 9489 2663 686
1.297278617009705 0.01872135791152746 0.024550975603809786 2.9954172658443936e-06 0.01780833271911047 8378 8378 237
1.9837512202084815 0.017756465605890816 0.03595301380980872 2.8410344969425306e-06 0.016890497415811945 6582 6582 2817
1.3387693033892494 0.007099665314917012 0.011661552080596426 1.1359464503867221e-06 0.006753420490108816 9057 9057 1178
1.4304611489376888 0.0048975662092528415 0.009361600276898205 7.836105934804547e-07 0.004658715942530218 7474 7474 2294
1.597684742066124 0.008005810570516268 0.015288353341183987 1.2809296912826031e-06 0.007615373788572216 7394 7394 2269
1.0741854991131974 0.0012053432130563133 0.00260778875048817 1.9285491408901013e-07 0.0011465596181787414 10042 81 32
1.7987436599987956 0.007489793186832475 0.016336587243906357 1.198366909893196e-06 0.007124522147312389 5912 5912 3392
1.1936432173846514 0.0031988381138691848 0.00568335835302823 5.118140982190696e-07 0.0030428334160140214 8752 8748 1337
1.442288888768085 0.00963212276439405 0.01597079454251998 1.541139642303048e-06 0.00916237207740302 9068 9068 1336
1.899279694402568 0.011302194961420514 0.023888823272449324 1.8083511938272825e-06 0.010750996230102448 6176 6176 3150
