#turning_on_forward N_not_eqm N_less_eqm N_eqm less_500eV_unique_event
403.4425838190052 6635 16 0 4
799.8355000176485 6625 6 0 2
362.5557890067936 6627 8 0 3
860.5689350871007 6629 10 0 2
309.60462580589956 6629 10 0 3
951.5953482176917 6629 10 0 2
469.8981693387019 6627 8 0 2
174.97283714478084 6624 5 0 3
735.5177617677973 6625 6 0 2
258.2168226005848 6626 7 0 3
566.6681011539156 6625 6 0 2
613.1157671770519 6625 6 0 2
883.1756989071292 6631 12 0 2
143.17043713155897 6624 5 0 3
650.0734939749465 6629 10 0 2
236.05279021246997 6624 5 0 3
688.577981935171 6627 8 0 2
389.78915339083494 6631 12 0 4
781.6433261872272 6629 10 0 2
405.3590101937368 6629 10 0 4
935.3252882330946 6625 6 0 2
345.32414954169843 6623 4 0 3
640.0652254495116 6631 12 0 2
586.5947754556718 6631 12 0 2
471.71450429520104 6626 7 0 3
693.659865410428 6627 8 0 2
227.8684294725631 6624 5 0 3
110.31904062706747 6626 7 0 3
855.9336334719843 6629 10 0 2
527.5403779513794 6627 8 0 2
345.32414954169843 6623 4 0 3
345.32414955169844 6623 4 0 3
