# field
#x y z t Bx By Bz Ex Ey Ez
0 0 -10 0 0 0 4.95885 0 0 0 
0 0 0 0 0 0 4.96188 0 0 0 
0 0 10 0 0 0 4.96454 0 0 -2 
0 0 20 0 0 0 4.96689 0 0 -2 
0 0 30 0 0 0 4.96898 0 0 -2 
0 0 40 0 0 0 4.97083 0 0 -2 
0 0 50 0 0 0 4.97249 0 0 -2 
0 0 60 0 0 0 4.97397 0 0 -2 
0 0 70 0 0 0 4.97529 0 0 -2 
0 0 80 0 0 0 4.97648 0 0 -2 
0 0 90 0 0 0 4.97755 0 0 -2 
0 0 100 0 0 0 4.9785 0 0 -2 
0 0 110 0 0 0 4.97936 0 0 -2 
0 0 120 0 0 0 4.98013 0 0 -2 
0 0 130 0 0 0 4.98082 0 0 -2 
0 0 140 0 0 0 4.98144 0 0 -2 
0 0 150 0 0 0 4.98198 0 0 -2 
0 0 160 0 0 0 4.98247 0 0 -2 
0 0 170 0 0 0 4.9829 0 0 -2 
0 0 180 0 0 0 4.98327 0 0 -2 
0 0 190 0 0 0 4.98359 0 0 -2 
0 0 200 0 0 0 4.98387 0 0 -2 
0 0 210 0 0 0 4.98409 0 0 -2 
0 0 220 0 0 0 4.98428 0 0 -2 
0 0 230 0 0 0 4.98442 0 0 -2 
0 0 240 0 0 0 4.98452 0 0 -2 
0 0 250 0 0 0 4.98458 0 0 -2 
0 0 260 0 0 0 4.9846 0 0 -2 
0 0 270 0 0 0 4.98458 0 0 -2 
0 0 280 0 0 0 4.98452 0 0 -2 
0 0 290 0 0 0 4.98442 0 0 -2 
0 0 300 0 0 0 4.98428 0 0 -2 
0 0 310 0 0 0 4.98409 0 0 -2 
0 0 320 0 0 0 4.98387 0 0 -2 
0 0 330 0 0 0 4.98359 0 0 -2 
0 0 340 0 0 0 4.98327 0 0 -2 
0 0 350 0 0 0 4.9829 0 0 -2 
0 0 360 0 0 0 4.98247 0 0 -2 
0 0 370 0 0 0 4.98198 0 0 -2 
0 0 380 0 0 0 4.98144 0 0 -2 
0 0 390 0 0 0 4.98082 0 0 -2 
0 0 400 0 0 0 4.98013 0 0 -2 
0 0 410 0 0 0 4.97936 0 0 -2 
0 0 420 0 0 0 4.9785 0 0 -2 
0 0 430 0 0 0 4.97755 0 0 -2 
0 0 440 0 0 0 4.97648 0 0 -2 
0 0 450 0 0 0 4.97529 0 0 -2 
0 0 460 0 0 0 4.97397 0 0 -2 
0 0 470 0 0 0 4.97249 0 0 -2 
0 0 480 0 0 0 4.97083 0 0 -2 
0 0 490 0 0 0 4.96898 0 0 -2 
0 0 500 0 0 0 4.96689 0 0 -2 
0 0 510 0 0 0 4.96454 0 0 -2 
0 0 520 0 0 0 4.96188 0 0 0 
0 0 530 0 0 0 4.95885 0 0 0 
0 0 540 0 0 0 4.95541 0 0 0 
0 0 550 0 0 0 4.95146 0 0 0 
0 0 560 0 0 0 4.94692 0 0 0 
0 0 570 0 0 0 4.94166 0 0 0 
0 0 580 0 0 0 4.93552 0 0 0 
0 0 590 0 0 0 4.9283 0 0 0 
0 0 600 0 0 0 4.91976 0 0 0 
0 0 610 0 0 0 4.90956 0 0 0 
0 0 620 0 0 0 4.89726 0 0 0 
0 0 630 0 0 0 4.88228 0 0 0 
0 0 640 0 0 0 4.86374 0 0 0 
0 0 650 0 0 0 4.8405 0 0 0 
0 0 660 0 0 0 4.81093 0 0 0 
0 0 670 0 0 0 4.7727 0 0 0 
0 0 680 0 0 0 4.72232 0 0 0 
0 0 690 0 0 0 4.65457 0 0 0 
0 0 700 0 0 0 4.56132 0 0 0 
0 0 710 0 0 0 4.42966 0 0 0 
0 0 720 0 0 0 4.24142 0 0 0 
0 0 730 0 0 0 3.97116 0 0 0 
0 0 740 0 0 0 3.59112 0 0 0 
0 0 750 0 0 0 3.08911 0 0 0 
0 0 760 0 0 0 2.49859 0 0 0 
0 0 770 0 0 0 1.90812 0 0 0 
0 0 780 0 0 0 1.4061 0 0 0 
0 0 790 0 0 0 1.02603 0 0 0 
0 0 800 0 0 0 0.755743 0 0 0 
0 0 810 0 0 0 0.567488 0 0 0 
0 0 820 0 0 0 0.435813 0 0 0 
0 0 830 0 0 0 0.342577 0 0 0 
0 0 840 0 0 0 0.2748 0 0 0 
0 0 850 0 0 0 0.224392 0 0 0 
0 0 860 0 0 0 0.186132 0 0 0 
0 0 870 0 0 0 0.156542 0 0 0 
0 0 880 0 0 0 0.133264 0 0 0 
0 0 890 0 0 0 0.114702 0 0 0 
0 0 900 0 0 0 0.0996788 0 0 0 
0 0 910 0 0 0 0.0873418 0 0 0 
0 0 920 0 0 0 0.0770992 0 0 0 
0 0 930 0 0 0 0.0685106 0 0 0 
0 0 940 0 0 0 0.0612439 0 0 0 
0 0 950 0 0 0 0.0550499 0 0 0 
0 0 960 0 0 0 0.0497353 0 0 0 
0 0 970 0 0 0 0.0451332 0 0 0 
0 0 980 0 0 0 0.0411237 0 0 0 
0 0 990 0 0 0 0.0376106 0 0 0 
0 0 1000 0 0 0 0.0345161 0 0 0 
0 0 1010 0 0 0 0.0317775 0 0 0 
