#BLTrackFile NTuple/Z640
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-0.032107 0.0146029 640 -0.0188944 -0.00980935 11.5041 38.8579 -13 1 0 0 1
0.00136084 -0.042523 640 0.0349277 -0.0239447 12.5619 40.6593 -13 2 0 0 1
-0.219047 -0.014838 640 -0.137688 0.0677053 9.83471 25.5776 -13 3 0 0 1
-0.00623569 0.120302 640 0.0112648 0.0251509 11.1369 24.638 -13 4 0 0 1
0.00469587 0.100316 640 -0.0331082 -0.0601896 6.85197 40.2116 -13 5 0 0 1
-0.00830916 0.293806 640 0.0794437 0.00668848 7.63614 51.7409 -13 6 0 0 1
0.0218941 0.124815 640 0.0562788 -0.0344677 12.0283 32.4311 -13 7 0 0 1
0.0168894 -0.0868451 640 -0.0104939 -0.0501624 5.08832 58.6334 -13 8 0 0 1
0.141833 -0.0862286 640 -0.0146446 -0.0462019 13.619 40.2042 -13 9 0 0 1
-0.0290836 0.0927775 640 0.0433988 0.00351926 13.2386 22.2131 -13 10 0 0 1
-0.100636 0.119796 640 0.0178915 0.0393748 10.6017 24.2003 -13 11 0 0 1
0.0205025 0.0485 640 -0.00923103 -0.148635 11.8059 23.3495 -13 12 0 0 1
0.61826 -0.74842 640 -0.024981 -0.149288 3.39459 65.8581 -13 13 0 0 1
0.000135206 -0.0253273 640 0.00376941 0.0136763 10.3125 25.0738 -13 14 0 0 1
0.088292 0.00569813 640 0.0660856 -0.0700866 5.13937 62.4055 -13 15 0 0 1
0.204312 0.262495 640 0.14733 -0.105486 8.33358 29.8993 -13 16 0 0 1
0.0454464 -0.0914842 640 -0.00674686 -0.0235978 14.5104 22.8954 -13 17 0 0 1
-0.0451442 -0.143786 640 -0.0467782 0.000536359 13.0779 46.4653 -13 18 0 0 1
0.348564 0.362601 640 0.0746973 -0.0757908 8.25984 45.2026 -13 19 0 0 1
0.0146481 0.089593 640 0.00324216 -0.0187486 14.4236 38.7104 -13 21 0 0 1
-0.115546 0.0986749 640 0.0160971 -0.0197023 10.4507 23.5885 -13 22 0 0 1
-0.00925031 0.041097 640 -0.0257819 -0.0514382 11.7718 48.9134 -13 23 0 0 1
0.0283939 0.139204 640 0.056801 0.0129463 8.29311 54.5926 -13 24 0 0 1
0.129612 0.103952 640 0.00149899 -0.0300735 14.3656 30.1526 -13 25 0 0 1
0.188805 0.0696045 640 -0.059871 0.0622523 8.93303 41.1274 -13 26 0 0 1
-0.163393 -0.0980295 640 -0.0323655 -0.00401093 8.4369 37.304 -13 27 0 0 1
-0.0347277 -0.0610017 640 -0.0357712 0.0105479 11.5638 47.5792 -13 28 0 0 1
0.14693 0.00997855 640 -0.0350382 -0.0503487 6.97077 53.9505 -13 29 0 0 1
0.0270341 -0.070209 640 -0.143998 -0.10031 13.6144 19.2318 -13 30 0 0 1
0.0374673 0.0674934 640 -0.00713968 0.0123664 10.3465 26.3905 -13 31 0 0 1
-0.138382 -0.231376 640 -0.0947134 0.116628 8.48029 32.4578 -13 32 0 0 1
