#BLTrackFile NTuple/Z560
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
0.0756354 0.199452 560 0.00570741 -0.0205969 11.5067 36.3962 -13 1 0 0 1
0.0750749 -0.0433818 560 -0.00683022 -0.0150381 9.93248 22.5379 -13 3 0 0 1
0.388135 -0.0346379 560 0.0031251 -0.0547072 13.6208 38.1285 -13 9 0 0 1
0.0300246 0.302516 560 0.0402894 0.0200146 8.42533 26.4587 -13 16 0 0 1
0.0656263 0.0152597 560 -0.00977813 -0.014097 13.69 36.3117 -13 34 0 0 1
0.155704 -0.410136 560 0.00461051 -0.0665818 8.58417 47.5549 -13 36 0 0 1
-0.130961 -0.0695488 560 0.0289958 -0.00388971 9.49537 31.4161 -13 39 0 0 1
0.0810896 -0.251811 560 -0.0376004 -0.011962 14.4148 25.9545 -13 43 0 0 1
0.26198 0.219967 560 0.075629 0.013398 11.2518 36.7857 -13 44 0 0 1
-0.613375 -0.0362452 560 0.030756 0.0143036 6.70906 39.8405 -13 48 0 0 1
-0.163752 -0.090436 560 -0.0276366 0.0494837 10.7218 33.5481 -13 74 0 0 1
-0.216175 0.0727894 560 0.0267658 0.0416612 10.2881 47.4356 -13 80 0 0 1
0.123255 -0.0743793 560 -0.0595516 -0.0220881 7.95197 38.2023 -13 86 0 0 1
-0.137011 -0.245062 560 -0.0258356 -0.0104769 9.91231 31.1498 -13 89 0 0 1
1.53924 5.58471 560 -0.0424941 0.00979651 0.027239 33.0906 11 89 1004 0 1
0.606978 5.91123 560 -0.0153969 0.00396733 -0.0478313 34.5964 11 89 1004 0 1
0.175264 -0.474994 560 -0.122088 0.0491641 5.71932 43.1699 -13 94 0 0 1
0.559271 -0.307631 560 -0.0628758 -0.0732065 5.4597 39.199 -13 110 0 0 1
-0.32568 -0.233246 560 -0.028724 0.00705491 4.85147 61.9127 -13 123 0 0 1
0.114946 0.0477109 560 -0.00469454 -0.00904081 11.7281 42.3486 -13 126 0 0 1
0.0922162 0.100094 560 0.00652813 -0.0582085 7.22185 31.9064 -13 137 0 0 1
-0.0931491 -0.071231 560 -0.0150221 0.031562 14.1456 39.5244 -13 140 0 0 1
0.120452 -0.295901 560 -0.0661576 -0.0699629 8.09698 28.2874 -13 151 0 0 1
0.286917 0.0880075 560 0.00865139 -0.0376288 14.134 38.7057 -13 152 0 0 1
0.689536 -1.12912 560 -0.148774 -0.170396 7.51892 35.3906 -13 160 0 0 1
0.0680246 0.0209869 560 -0.0206622 -0.0360653 10.6623 21.5822 -13 175 0 0 1
-0.0628156 -0.210279 560 -0.00848854 0.0391398 7.13564 51.5506 -13 180 0 0 1
-0.0856435 -0.280635 560 -0.0569176 0.0212566 8.78207 49.4419 -13 181 0 0 1
0.212658 0.0956887 560 0.0115331 -0.0432552 12.284 21.3204 -13 184 0 0 1
-0.0127062 0.186241 560 0.0198438 0.0163619 11.8771 46.2848 -13 186 0 0 1
0.159319 -0.129989 560 -0.0570421 -0.0850639 4.76752 44.8816 -13 187 0 0 1
-0.472494 0.0785586 560 -0.0245284 0.121603 8.57337 40.0967 -13 188 0 0 1
0.138152 -0.448305 560 -0.0151226 -0.0520425 0.922298 474.024 -13 200 0 0 1
-0.698188 0.500199 560 0.0667456 0.117652 6.61889 45.3335 -13 211 0 0 1
-0.200589 -0.0787321 560 -0.0103546 0.0803124 13.7888 41.244 -13 348 0 0 1
0.154347 0.0448566 560 -0.0536517 -0.0869034 4.43857 51.1616 -13 351 0 0 1
-2.96637 0.148586 560 -0.00452405 -0.0183024 0.0361964 50.4608 11 351 1014 0 1
0.560861 0.439769 560 -0.0449259 -0.0339092 4.30496 57.5783 -13 352 0 0 1
-0.0622889 -0.0536017 560 0.0107168 0.00893015 10.9445 36.0616 -13 358 0 0 1
-0.186626 0.576079 560 0.103444 -0.0313973 8.74225 24.0159 -13 362 0 0 1
0.113401 0.0627708 560 0.0505319 0.0152862 12.1703 45.1968 -13 363 0 0 1
0.139703 0.249126 560 0.0370107 0.0189141 0.0475639 48.6291 11 363 1001 0 1
0.110873 -0.100133 560 -0.0272445 0.00293461 14.4458 19.0012 -13 364 0 0 1
-0.589184 -0.576682 560 -0.126715 0.142913 6.43188 34.8649 -13 370 0 0 1
-0.0121627 0.147022 560 -0.107762 0.0675066 1.68222 108.242 -13 372 0 0 1
0.0694071 0.0417734 560 0.0275208 -0.0853808 13.3638 37.2812 -13 375 0 0 1
-0.425342 0.289573 560 0.166835 -0.0216557 13.4029 27.8634 -13 382 0 0 1
-0.0874262 0.266902 560 0.0692453 0.0309855 14.1091 29.0574 -13 384 0 0 1
0.0748504 -0.0674933 560 -0.00833062 -0.0126516 14.4591 23.429 -13 386 0 0 1
-0.103633 -0.139169 560 -0.0139927 0.0024462 10.3043 28.9639 -13 390 0 0 1
0.304151 -0.206504 560 -0.0236159 -0.0409888 8.6737 51.5089 -13 391 0 0 1
-1.13807 -0.065263 560 -0.170035 0.106113 8.14732 52.0489 -13 392 0 0 1
0.0651379 0.205692 560 0.0619639 -0.0341118 14.1012 23.5345 -13 395 0 0 1
-0.0123702 -0.491511 560 -0.0456703 -0.0726774 7.02753 44.5738 -13 396 0 0 1
0.228262 -0.00466155 560 0.00811029 -0.0126153 14.5259 21.6282 -13 397 0 0 1
0.567378 0.0835326 560 0.0130369 -0.0829468 5.68588 54.8876 -13 403 0 0 1
-0.264361 -0.0777879 560 -0.00260016 0.0437035 12.8482 33.1681 -13 405 0 0 1
0.0920683 -0.0191217 560 0.0193764 -0.0454734 7.06014 43.598 -13 406 0 0 1
-0.0990759 -0.0947541 560 0.0046702 -0.0296736 12.1775 20.3404 -13 409 0 0 1
-0.452005 -0.0501121 560 -0.00792169 0.0689127 8.25812 31.6032 -13 415 0 0 1
-0.0510473 0.153883 560 0.0271482 -0.0596018 10.8073 44.597 -13 427 0 0 1
-0.194948 -0.0542676 560 -0.00525834 0.0586698 14.008 18.5445 -13 456 0 0 1
-0.0865019 0.0579813 560 0.0256244 0.0164127 9.43317 23.1247 -13 457 0 0 1
-0.0572652 -0.0495494 560 -0.0222722 0.0389155 11.6041 44.3063 -13 458 0 0 1
-0.240228 -0.125258 560 -0.0277695 -0.00350102 13.4556 41.2318 -13 461 0 0 1
0.047911 0.2275 560 -0.00979485 0.0233419 7.68693 38.4406 -13 463 0 0 1
0.205984 -0.117524 560 -0.03279 -0.0794982 9.90843 26.1085 -13 465 0 0 1
0.0380791 0.332726 560 0.063633 0.022769 7.2645 29.2553 -13 466 0 0 1
0.182268 -0.248951 560 -0.0449725 -0.0171641 8.83505 33.4366 -13 468 0 0 1
-0.228466 0.338992 560 0.0614414 -0.026112 5.36154 39.8671 -13 479 0 0 1
-0.0355199 0.0718099 560 0.0350316 0.0377005 8.99704 37.021 -13 481 0 0 1
0.000235027 -0.635412 560 -0.0522266 -0.068343 6.52284 59.8064 -13 482 0 0 1
-0.101814 -0.0931161 560 -0.00900089 0.00708578 14.0497 43.8186 -13 483 0 0 1
0.171672 -0.0364703 560 -0.0124073 -0.0477062 7.48093 41.0864 -13 484 0 0 1
0.0983483 -0.0800887 560 -0.0197053 -0.0273874 11.3668 21.6462 -13 485 0 0 1
-0.102869 -0.0193175 560 0.0162179 0.0313449 7.29439 35.3621 -13 486 0 0 1
-0.1647 0.317219 560 0.0650161 0.0559485 13.0114 33.9657 -13 487 0 0 1
-0.219664 0.0389091 560 0.0104117 -0.0244987 5.29918 57.8703 -13 488 0 0 1
0.157561 -0.203731 560 0.00203789 0.0196326 13.8873 19.669 -13 489 0 0 1
-0.241804 -0.148546 560 -0.0225473 0.0208875 3.71044 54.3351 -13 490 0 0 1
-0.229491 -0.164509 560 -0.00179689 -0.0090551 0.0288843 54.0987 11 490 1005 0 1
0.00288122 -0.0549873 560 -0.00698043 0.0219839 7.57298 51.4803 -13 491 0 0 1
-0.234059 0.134458 560 0.022469 0.0308492 12.4357 41.3513 -13 493 0 0 1
-0.0427787 -0.0388321 560 -0.0294293 -0.0214555 12.9654 39.4184 -13 494 0 0 1
-0.0509024 0.0222143 560 0.0187001 0.00237093 14.4424 15.7049 -13 495 0 0 1
0.250169 0.128835 560 0.0839425 -0.00419683 10.6913 26.1647 -13 496 0 0 1
0.247004 -0.0167656 560 -0.0143605 -0.0942507 14.0545 15.7665 -13 497 0 0 1
0.00743854 0.140649 560 0.0212295 0.0261681 10.2471 25.7421 -13 503 0 0 1
0.300828 0.093382 560 0.0417939 0.0026397 12.4251 28.3358 -13 507 0 0 1
1.8356 0.98708 560 -0.0290666 -0.0327486 0.0411751 29.3207 11 507 1002 0 1
-0.541352 -4.6032 560 -0.0366692 -0.0323634 -0.0282172 37.1558 11 507 1002 0 1
0.0797241 0.0185147 560 0.0132585 -0.00162662 11.4228 43.4536 -13 508 0 0 1
-0.44337 -0.582706 560 -0.0581339 0.109492 8.20929 27.7163 -13 517 0 0 1
0.237381 0.0483352 560 0.0472872 -0.0481966 12.3682 21.7163 -13 518 0 0 1
0.34138 0.0361484 560 0.106545 -0.0167188 12.9134 27.3965 -13 522 0 0 1
-0.13439 -0.0890131 560 -0.0296901 -0.066865 3.74182 76.0874 -13 524 0 0 1
-0.165448 -0.251934 560 0.0719911 0.0231725 11.7047 37.2323 -13 526 0 0 1
-0.0718516 -0.230843 560 -0.0415347 0.054278 12.4895 32.5205 -13 528 0 0 1
-0.0535913 -0.0600688 560 -0.056275 0.025545 11.266 41.0299 -13 529 0 0 1
0.0252796 -0.0144726 560 -0.0937679 0.0145381 9.0518 45.4152 -13 533 0 0 1
0.423989 -0.381799 560 -0.0802379 -0.0191395 13.0435 24.9318 -13 536 0 0 1
0.409584 -0.0851112 560 -0.0359086 -0.0642577 8.53432 36.3852 -13 543 0 0 1
0.0343013 0.109901 560 -0.00517629 -0.0105955 13.7348 42.8886 -13 544 0 0 1
-0.0399316 0.0764305 560 0.00247853 0.00114859 9.85692 39.7052 -13 548 0 0 1
0.0105219 0.0662019 560 0.00445403 -0.0110234 9.61968 46.7095 -13 549 0 0 1
-0.0360463 0.279086 560 0.0292978 0.00584416 11.3056 28.1344 -13 552 0 0 1
-0.356157 0.201431 560 0.0471841 0.0447123 7.88606 37.2506 -13 553 0 0 1
0.462941 0.145625 560 0.0324412 -0.0759662 7.89825 52.6946 -13 555 0 0 1
0.492999 0.29435 560 -0.0233708 -0.0188879 0.058248 52.623 11 555 1002 0 1
0.269335 -0.0629537 560 -0.019081 -0.0402247 13.5718 21.5969 -13 557 0 0 1
0.0428972 0.147261 560 0.0233133 -0.0151842 12.1104 32.2017 -13 563 0 0 1
-0.157271 0.0141381 560 0.00197339 -0.0248301 10.5614 47.4267 -13 564 0 0 1
0.00368187 0.439492 560 0.0758902 0.0809642 9.33602 33.3735 -13 566 0 0 1
-0.189126 2.57343 560 -0.0155256 0.0328593 0.0719888 30.5678 11 566 1003 0 1
-0.0172489 -0.0737791 560 -0.00175831 0.0135406 10.5898 30.7778 -13 567 0 0 1
-0.0717872 -0.0316715 560 0.0365585 0.0779977 7.03884 47.0054 -13 575 0 0 1
-0.0402484 -0.0715588 560 -0.0125692 0.0487808 10.5977 38.2077 -13 576 0 0 1
0.084396 0.0364205 560 0.0195402 -0.00676188 13.381 17.9448 -13 577 0 0 1
0.20532 0.0920623 560 -0.0224215 -0.047788 8.39123 35.2552 -13 578 0 0 1
0.140441 -0.022768 560 0.0186363 -0.0252427 13.971 30.7402 -13 579 0 0 1
-0.0879621 -0.0167075 560 -0.0285347 0.0493119 12.7375 23.8701 -13 580 0 0 1
0.0583089 -0.0173275 560 0.00466026 -0.00835389 11.0901 46.3007 -13 581 0 0 1
0.35567 0.369881 560 -0.00732838 -0.0746425 8.87368 35.0756 -13 582 0 0 1
-0.641906 0.616197 560 0.00859869 -0.0294196 0.0294344 35.4304 11 582 1004 0 1
0.24306 0.166399 560 0.0777395 -0.0868907 7.5882 33.3535 -13 583 0 0 1
-1.13703 0.549947 560 0.0393833 0.0280165 0.887353 470.447 -13 590 0 0 1
0.101419 0.212775 560 0.0139075 -0.0102732 10.0336 34.8262 -13 595 0 0 1
0.329356 0.675792 560 0.151235 0.0990528 4.80223 44.7215 -13 853 0 0 1
-0.0687966 0.138167 560 0.0125679 0.000738477 11.4765 21.2649 -13 854 0 0 1
-nan -nan -nan -nan -nan -nan -nan -13 864 0 0 1
0.399181 -0.884245 560 -0.120626 -0.0717595 6.87379 42.5384 -13 865 0 0 1
0.0416003 -0.149505 560 -0.000716996 -0.0218173 14.5576 33.9334 -13 974 0 0 1
-0.128049 0.161059 560 0.0137115 -0.00234881 8.97882 39.801 -13 978 0 0 1
-3.90288 -3.7532 560 0.0135715 -0.0235273 0.0656178 34.1367 11 978 1003 0 1
0.0345686 -0.0612817 560 -0.0199475 -0.0316566 12.0777 20.7439 -13 980 0 0 1
0.106984 0.0462538 560 0.0242028 -0.0237363 14.4604 22.4432 -13 990 0 0 1
0.27366 0.404439 560 0.0715254 -0.0501389 10.8325 38.8389 -13 991 0 0 1
-4.54231 -5.02606 560 0.0170895 -0.0385997 0.0199214 41.7793 11 991 1004 0 1
0.0987839 0.252139 560 0.00954063 -0.00109586 13.0832 41.1308 -13 992 0 0 1
-0.014 0.0371801 560 0.0525907 -0.0315227 12.8081 40.6513 -13 994 0 0 1
0.082584 0.0647051 560 -0.0562489 0.0461945 13.9065 26.7165 -13 995 0 0 1
0.384233 0.769825 560 0.0564807 -0.124709 8.42644 45.6861 -13 1000 0 0 1
-0.104589 -0.119375 560 -0.00801749 0.0103289 12.5701 38.4013 -13 2 0 0 1
0.142999 -0.0341901 560 -0.00152061 -0.0671317 7.63205 48.064 -13 6 0 0 1
-0.0684337 0.013276 560 -0.0308241 0.0334676 12.0362 30.0645 -13 7 0 0 1
-0.0113604 -0.0862271 560 0.0379082 -0.00550173 13.0802 44.2983 -13 18 0 0 1
-0.191464 0.0389875 560 0.000982191 0.0607731 14.4211 36.7387 -13 21 0 0 1
-0.167591 0.0794666 560 0.0106236 0.0636651 10.5243 20.7755 -13 22 0 0 1
0.133442 -0.0645515 560 -0.0270802 -0.0370381 8.32207 51.1572 -13 24 0 0 1
-0.310062 -0.0898751 560 -0.0206298 -0.0247883 3.25959 80.9246 -13 33 0 0 1
-0.738796 0.235355 560 0.102316 0.0847305 9.89766 41.9857 -13 42 0 0 1
0.0394725 0.117145 560 0.0319181 -0.0065956 8.28154 45.783 -13 60 0 0 1
-0.17304 0.0890185 560 0.0200978 0.00906448 13.9485 30.0285 -13 61 0 0 1
-0.0262352 0.134072 560 0.00465057 0.051015 8.90356 35.2381 -13 64 0 0 1
-0.293361 0.280016 560 0.048931 0.0570458 4.9328 44.1472 -13 65 0 0 1
-0.0972308 0.0895255 560 0.00266581 0.0391655 11.5251 30.0205 -13 67 0 0 1
0.0820857 1.01946 560 0.145826 0.0978233 7.76285 53.5566 -13 75 0 0 1
-0.26486 -0.334934 560 -0.0487602 -0.00423256 12.4004 41.8446 -13 76 0 0 1
1.59174 -1.37902 560 0.0846181 -0.00104636 0.0452364 42.3372 11 76 1003 0 1
-0.408047 -0.435506 560 -0.0567639 0.0540075 6.63762 57.6837 -13 92 0 0 1
0.0593577 -0.106432 560 0.000623043 -0.0293441 9.84177 24.2775 -13 111 0 0 1
-0.0743928 -0.140456 560 -0.0205343 0.0315367 13.2244 34.9876 -13 115 0 0 1
-0.0570838 0.153125 560 -0.0112044 -0.0262893 10.3044 48.8087 -13 116 0 0 1
-0.0031076 0.0424567 560 -0.00120439 -0.0170601 11.5706 22.6179 -13 117 0 0 1
-0.0737734 -0.206077 560 -0.11964 -0.000614311 10.9615 38.1574 -13 119 0 0 1
0.397826 0.738673 560 0.195685 0.00557689 7.82864 53.3053 -13 121 0 0 1
0.300227 1.12714 560 0.013464 0.00984822 0.0695482 52.3119 11 121 1006 0 1
-0.225476 -0.0735868 560 -0.0206159 0.0332264 9.04567 28.7349 -13 122 0 0 1
0.117101 -0.161563 560 -0.0261343 -0.0180335 14.3348 37.2006 -13 159 0 0 1
-0.183274 -0.0301926 560 -0.0227051 0.0414672 14.2174 34.5375 -13 164 0 0 1
-0.110532 -0.246821 560 -0.0155905 0.0181378 12.339 41.1623 -13 165 0 0 1
-0.382257 0.00640109 560 -0.00697116 0.0683203 11.0045 47.0877 -13 166 0 0 1
