#BLTrackFile NTuple/Z500
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-0.0130762 0.301609 500 0.0266899 -0.00405423 11.5089 34.5479 -13 1 0 0 1
-0.0345762 -0.103378 500 -0.0110246 -0.0162167 12.5718 36.7073 -13 2 0 0 1
0.0745061 0.0217324 500 0.00556749 -0.00792915 9.93699 20.4003 -13 3 0 0 1
0.293426 -0.242201 500 -0.0468611 -0.119106 11.1133 20.1951 -13 4 0 0 1
-0.123904 -0.129016 500 0.00912557 0.0377425 6.88678 32.9596 -13 5 0 0 1
-0.275005 0.0868521 500 0.0643011 0.0720975 7.63687 45.2872 -13 6 0 0 1
0.135716 -0.00660209 500 -0.0151135 -0.0255751 12.0433 28.2965 -13 7 0 0 1
-0.155826 -0.256898 500 -0.0962098 0.00311046 3.70671 51.03 -13 13 0 0 1
0.0350721 -0.183294 500 -0.0623921 0.000822321 10.5264 18.7566 -13 22 0 0 1
0.116943 -0.0243 500 -0.0171574 -0.0104154 11.5784 43.2854 -13 28 0 0 1
0.0174372 -0.0493713 500 -0.0292207 -0.0494596 9.76548 45.7696 -13 57 0 0 1
-0.0323383 0.0335687 500 -0.0200068 0.00625893 14.0146 41.1589 -13 63 0 0 1
0.00645564 -0.0530546 500 -0.0338655 0.00550239 11.5281 28.1752 -13 67 0 0 1
0.101558 -0.368402 500 -0.0888895 -0.0573769 6.03754 50.7344 -13 73 0 0 1
-0.128288 -0.104554 500 -0.0323446 0.0104984 10.2906 45.3708 -13 80 0 0 1
0.391437 -0.0756232 500 0.0230276 -0.0123015 8.51324 29.4903 -13 88 0 0 1
0.230082 0.327149 500 0.0512117 -0.0354681 8.79818 27.1518 -13 105 0 0 1
0.218146 0.149275 500 0.0159176 -0.0784131 5.84876 35.5144 -13 118 0 0 1
0.0476944 -0.167651 500 -0.00800449 -0.0173549 7.50995 37.8473 -13 120 0 0 1
-0.065649 -0.1605 500 -0.0264452 -0.0134997 9.04897 26.3891 -13 122 0 0 1
0.0926137 0.0707959 500 0.00806176 0.00387419 11.7299 40.5346 -13 126 0 0 1
0.0406572 0.128345 500 0.0167481 -0.00932498 9.17207 27.9034 -13 131 0 0 1
-0.220995 -0.141591 500 -0.0484088 0.0280109 12.9791 25.9352 -13 136 0 0 1
-0.160108 0.0614045 500 0.0433715 -0.0105457 13.7533 24.9807 -13 142 0 0 1
0.0807886 -0.205719 500 -0.0170594 0.00691582 7.0222 34.0934 -13 149 0 0 1
-0.0657857 0.0654026 500 -0.0118431 0.0437187 13.2324 23.0346 -13 157 0 0 1
0.158343 -0.0343876 500 0.00935094 -0.0347211 14.336 35.712 -13 159 0 0 1
0.0134837 -0.254478 500 -0.0266933 -0.0165343 12.3397 39.4369 -13 165 0 0 1
-0.0158741 0.233295 500 0.0397942 -0.0141369 14.5065 34.668 -13 171 0 0 1
-0.339101 -0.0532258 500 -0.0215065 0.0973781 3.38417 55.2394 -13 177 0 0 1
0.0733502 -0.0278334 500 -0.0159016 -0.0143646 9.24454 37.0291 -13 182 0 0 1
-0.375519 -0.149582 500 0.0180964 0.0422476 10.8692 38.6442 -13 195 0 0 1
0.0369407 0.0542605 500 -0.0223802 0.014126 12.3267 19.327 -13 198 0 0 1
-0.0397475 -0.00830105 500 -0.00490492 -0.0196462 13.5047 26.8112 -13 228 0 0 1
-0.0762388 0.00342545 500 0.002954 0.0157331 10.9582 44.4601 -13 233 0 0 1
-0.114946 0.0946935 500 0.00558667 0.0274785 9.49487 24.0399 -13 238 0 0 1
0.0102623 0.043414 500 0.0462149 0.0250953 13.8035 41.072 -13 243 0 0 1
-0.287807 0.0114555 500 0.0395561 0.0318243 11.8195 42.8069 -13 248 0 0 1
0.0947715 -0.126857 500 -0.0292917 -0.032153 12.9805 21.6134 -13 252 0 0 1
-0.0361063 -0.198106 500 -0.043031 -0.0160236 14.208 36.5813 -13 260 0 0 1
-0.212713 -0.853186 500 -0.152846 -0.0375659 3.3409 73.3133 -13 264 0 0 1
0.202261 -0.0898464 500 0.0599172 -0.0686085 3.25677 79.7757 -13 270 0 0 1
0.358656 -0.136169 500 -0.021863 -0.0496438 11.5284 21.4766 -13 276 0 0 1
-0.606894 0.347332 500 0.0345497 0.0842416 9.53886 42.2386 -13 282 0 0 1
0.0149465 -0.0801103 500 -0.031203 -0.00652839 9.11054 28.4303 -13 290 0 0 1
0.0640511 0.348497 500 0.0482809 -0.0195087 13.78 42.7757 -13 294 0 0 1
-0.0218829 0.0176738 500 0.00881556 0.0179657 12.1912 27.6858 -13 299 0 0 1
-0.134901 0.128279 500 0.0218174 0.028675 7.71058 40.4898 -13 304 0 0 1
0.00714709 -0.225469 500 -0.0831418 -0.00233826 9.57305 39.0299 -13 309 0 0 1
0.183971 0.0831298 500 -0.0159581 -0.0285447 13.0497 15.8825 -13 313 0 0 1
-4.07973 1.60692 500 -0.0196682 -0.000100885 0.921215 433.223 -13 319 0 0 1
0.106604 0.0652947 500 0.00887217 0.00852381 9.85314 23.8636 -13 321 0 0 1
-0.165886 0.189299 500 0.0306121 0.0177437 4.97506 41.3883 -13 374 0 0 1
-0.155418 0.245375 500 0.063406 -0.00128849 13.3652 35.6863 -13 375 0 0 1
0.514543 0.0169043 500 -0.0458971 -0.101092 6.56513 40.0345 -13 376 0 0 1
-0.0133451 0.0046832 500 0.0188392 -0.0204198 10.5197 27.3975 -13 377 0 0 1
-nan -nan -nan -nan -nan -nan -nan -13 378 0 0 1
-0.237834 -0.411947 500 -0.0575831 0.0154893 7.41178 27.3082 -13 379 0 0 1
0.192591 0.00145074 500 0.0198842 -0.014415 14.4505 27.9705 -13 972 0 0 1
0.00393956 -0.188896 500 -0.0259615 0.0105594 13.7638 41.935 -13 973 0 0 1
0.00541454 -0.0922044 500 0.0165408 -0.0064616 14.5582 32.4671 -13 974 0 0 1
-0.167393 0.00264756 500 0.00906303 0.0251344 10.2811 37.6761 -13 975 0 0 1
0.359261 -0.0639559 500 -0.0324737 -0.00984718 6.69463 33.0259 -13 976 0 0 1
