#BLTrackFile NTuple/Z160
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
0.0611927 -0.0612481 160 0.00212551 -0.0108343 11.1732 9.38234 -13 4 0 0 1
-0.0269291 0.105123 160 0.0142283 0.00726766 13.2436 9.33674 -13 10 0 0 1
0.0452054 0.141801 160 0.00297313 -0.00746975 10.4269 8.60078 -13 14 0 0 1
0.000246178 -0.0287536 160 -0.0025632 0.0045311 8.31105 24.6987 -13 19 0 0 1
0.19625 -0.0351006 160 -0.0238598 -0.0259971 8.50085 17.2586 -13 27 0 0 1
0.0766096 0.12458 160 0.0667079 -0.00833308 7.14617 25.5119 -13 59 0 0 1
-0.092498 0.0137143 160 -0.00374403 0.00604269 13.9562 19.837 -13 61 0 0 1
0.0365438 0.0820877 160 0.0236635 -0.00165416 10.3893 7.30994 -13 72 0 0 1
-0.0181582 -0.0454629 160 0.026827 -0.0301351 10.7525 20.3505 -13 74 0 0 1
-0.144022 -0.0421446 160 -0.00992221 0.0140477 13.5634 18.0703 -13 78 0 0 1
-0.0216851 -0.00756214 160 -0.00285455 0.00925789 13.2122 27.7363 -13 82 0 0 1
-0.109066 0.0333378 160 0.00157971 -0.0173094 9.87929 24.9403 -13 83 0 0 1
0.0104773 -0.0329549 160 -0.00404228 -0.00561209 13.6122 8.34208 -13 85 0 0 1
0.0688028 -0.151449 160 -0.00407085 -0.0470781 7.96855 20.4606 -13 86 0 0 1
0.10503 -0.122845 160 -0.00584819 -0.0106485 2.77476 47.4711 -13 87 0 0 1
0.0899191 -0.0293053 160 -0.0150789 -0.0348956 8.59885 31.1202 -13 36 0 0 1
0.0023546 0.0227 160 -0.0011832 -0.00424133 11.8655 28.5326 -13 38 0 0 1
0.144997 -0.0568717 160 -0.0561161 -0.012877 6.82596 18.9295 -13 48 0 0 1
-0.186571 0.0968789 160 0.0564859 0.0465558 4.51702 40.1811 -13 50 0 0 1
0.225231 -0.039363 160 -0.0235155 -0.0364686 5.14026 16.3128 -13 65 0 0 1
-0.172942 -2.7485 160 0.0021211 -0.011259 0.0397858 12.9788 11 65 1016 0 1
-0.0169605 0.00152747 160 0.00988527 0.000274365 11.8279 8.94667 -13 12 0 0 1
-275.372 -225.881 160 -31.2665 -25.6462 9.87198 14.0101 12 13 1002 0 1
0.0166507 -0.0207251 160 0.00188856 0.0039105 14.5148 11.131 -13 17 0 0 1
0.0490794 0.0582747 160 0.00570327 -0.00220588 10.557 7.32312 -13 22 0 0 1
-0.0117423 0.0515876 160 0.0120938 0.00350878 11.7853 34.4665 -13 23 0 0 1
-0.0974848 -0.0234222 160 -0.00557191 0.0164525 8.34378 34.1992 -13 24 0 0 1
-0.0208374 -0.0279899 160 0.00123879 0.0246376 7.07835 29.8272 -13 29 0 0 1
-0.0380608 0.145395 160 0.0585034 0.038503 3.69274 40.8458 -13 33 0 0 1
-0.443612 -0.397541 160 -0.0890718 0.04924 5.2745 37.8134 -13 35 0 0 1
0.00480281 -0.123755 160 -0.00276849 -0.0243997 11.3108 24.2012 -13 44 0 0 1
0.0549678 -0.0460378 160 0.00200598 -0.00787395 10.4179 25.2903 -13 55 0 0 1
-0.107024 0.0632811 160 -0.0204745 0.036691 14.1321 13.2821 -13 56 0 0 1
0.374519 0.0338708 160 0.04528 -0.0444663 8.3233 28.7712 -13 60 0 0 1
-0.117313 0.0317866 160 0.0030994 0.0215679 9.4106 19.1494 -13 62 0 0 1
-0.149706 0.0281608 160 0.0151433 0.0186325 8.73766 29.8514 -13 81 0 0 1
-0.0454245 0.250157 160 0.0443318 0.00119924 2.91397 25.732 -13 96 0 0 1
-0.0915979 -0.156379 160 -0.0206564 -0.00575416 9.5885 14.3563 -13 98 0 0 1
0.0970108 -0.0909934 160 -0.0116788 -0.0160254 6.95446 15.5808 -13 5 0 0 1
-0.0027723 -0.0711977 160 -0.0168684 -0.010751 10.6616 8.2046 -13 11 0 0 1
0.00790092 0.0588073 160 0.00949801 0.00817222 13.0946 33.4434 -13 18 0 0 1
0.0537941 0.0748866 160 0.0139246 -0.00098488 14.4308 26.8754 -13 21 0 0 1
-0.0925869 0.0357244 160 -0.00282929 0.0104117 10.3813 9.98691 -13 31 0 0 1
-0.0502198 -0.0547329 160 0.00119742 -0.00691006 8.52033 12.5133 -13 32 0 0 1
0.041929 0.0699815 160 0.0102975 -0.0103081 13.6991 25.9329 -13 34 0 0 1
-0.120385 0.0140528 160 -0.0132483 0.0206975 10.4074 33.8616 -13 37 0 0 1
0.0816256 -0.0875439 160 -0.00630716 -0.0230307 9.53575 16.5407 -13 39 0 0 1
0.0925177 -0.0701607 160 -0.01233 -0.00457387 8.93365 9.8498 -13 41 0 0 1
-0.00518227 0.0253462 160 0.011639 -0.0271761 9.93499 27.702 -13 42 0 0 1
0.126135 0.163684 160 0.0205106 -0.00836513 10.8837 30.1772 -13 45 0 0 1
-0.0284114 0.105372 160 0.0136329 0.0164151 11.4264 13.4264 -13 47 0 0 1
-0.0648647 0.0139821 160 0.000187598 0.00914886 13.2765 11.0013 -13 49 0 0 1
0.109747 -0.0767838 160 -0.0141692 -0.0183611 8.44567 19.1471 -13 51 0 0 1
0.0659508 0.382425 160 0.198681 -0.367412 2.90036 42.2445 -13 52 0 0 1
-0.000324761 0.0164479 160 0.00743782 -0.00685317 8.25603 8.73222 -13 53 0 0 1
0.0506008 0.0194171 160 -0.00843877 -0.0153909 8.33488 14.3221 -13 58 0 0 1
0.00832997 -0.0887731 160 -0.0104403 0.00460682 8.94206 19.3845 -13 64 0 0 1
0.259863 -0.120862 160 -0.0445366 -0.0360729 7.42834 21.1858 -13 66 0 0 1
0.0879425 -0.00640065 160 0.0168502 -0.0165554 11.5413 17.7263 -13 67 0 0 1
-0.0334324 0.158876 160 0.00561549 0.0500075 10.645 25.1667 -13 68 0 0 1
2.58103 -0.319545 160 -0.0371422 -0.0018465 0.0380195 26.0846 11 68 1002 0 1
-0.0269139 -0.0319272 160 -0.00227275 -0.00517153 6.74014 36.5012 -13 92 0 0 1
0.0275033 0.0265531 160 0.00155504 0.00604077 12.8758 19.837 -13 97 0 0 1
-0.0231958 -0.0407506 160 -0.00648812 0.00225703 14.024 9.62113 -13 99 0 0 1
0.056341 0.00504724 160 0.00864668 -0.0107498 4.94047 27.8399 -13 101 0 0 1
-0.177427 -0.125423 160 -0.016037 0.0680951 5.3163 30.2483 -13 15 0 0 1
-0.128543 0.116651 160 -0.00316005 0.0374764 8.46465 9.72172 -13 16 0 0 1
0.13257 -0.0511146 160 0.0026329 -0.0215716 5.17148 15.7095 -13 46 0 0 1
0.0809638 0.00318119 160 -0.034215 -0.0597812 3.39214 21.8646 -13 54 0 0 1
-0.0102104 -0.00773104 160 -0.00167207 0.00682977 14.0278 32.5386 -13 63 0 0 1
0.0781048 0.0300301 160 0.00825725 0.0216857 5.55 24.2871 -13 69 0 0 1
