#BLTrackFile NTuple/Z1000
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
0.0725637 0.0759578 1000 -0.0265544 -0.033344 11.4854 49.9638 -13 1 0 0 1
-0.389599 0.242693 1000 0.0925635 0.103014 12.5495 50.8367 -13 2 0 0 1
-0.0148646 0.424008 1000 0.168084 -0.131294 9.81758 38.5446 -13 3 0 0 1
-0.0113347 -0.0481415 1000 -0.0280027 -0.0507367 11.1092 36.1026 -13 4 0 0 1
0.522154 -0.625475 1000 -0.000992023 -0.000650316 0.000697638 37.3147 11 4 1001 0 1
0.0138615 -0.272894 1000 -0.114157 -0.002532 6.80058 58.8402 -13 5 0 0 1
0.0304961 0.0884924 1000 -0.0883582 0.00792536 7.58669 68.4425 -13 6 0 0 1
0.0505269 0.0736871 1000 0.0510571 -0.0124535 12.014 43.0532 -13 7 0 0 1
-0.118699 0.0241138 1000 0.096175 -0.0281697 4.95509 83.8623 -13 8 0 0 1
-0.0440718 -0.00833048 1000 0.0173093 0.059837 13.6122 49.5994 -13 9 0 0 1
0.115528 0.119625 1000 -0.0151676 -0.0119098 13.2228 31.8748 -13 10 0 0 1
-0.0566723 0.14896 1000 0.0270904 -0.0448338 10.5887 36.2354 -13 11 0 0 1
0.120122 0.143028 1000 0.0548071 -0.160573 11.7872 34.1713 -13 12 0 0 1
-0.149634 -0.772122 1000 -0.319577 0.230992 2.64196 107.4 -13 13 0 0 1
0.0230871 0.0734247 1000 0.0283194 -0.0118573 10.247 37.47 -13 14 0 0 1
0.875556 1.3069 1000 -0.0379244 0.0089481 0.0429398 37.8693 11 14 1001 0 1
1.65372 3.69273 1000 -0.00425207 -0.0135697 0.092329 23.1213 11 14 1002 0 1
-0.242651 -0.0878647 1000 0.0785694 0.0427303 5.03727 87.4004 -13 15 0 0 1
0.340944 0.0973604 1000 0.0363206 -0.206649 8.30288 45.1952 -13 16 0 0 1
-0.0324101 -0.109677 1000 -0.0137306 0.0191821 14.5032 31.7236 -13 17 0 0 1
0.0094061 -0.0606336 1000 0.0133754 -0.0588649 13.0631 56.244 -13 18 0 0 1
0.567555 0.103582 1000 -0.0705177 -0.180786 8.19323 60.6541 -13 19 0 0 1
-1.12297 -8.1754 1000 -0.00549491 -0.0346643 0.0257589 61.545 11 19 1001 0 1
-0.0265305 0.063906 1000 0.00823099 0.0101756 14.4161 47.591 -13 21 0 0 1
-0.146554 0.222175 1000 0.00461345 0.0530138 10.4161 35.7998 -13 22 0 0 1
-0.0939529 -0.0156309 1000 -0.0339384 -0.00782444 11.7545 59.7681 -13 23 0 0 1
0.0723613 -0.0481429 1000 0.00137359 -0.0260769 8.23378 69.9834 -13 24 0 0 1
0.0164755 0.110377 1000 0.0300793 0.0626392 14.3617 39.0669 -13 25 0 0 1
0.0981015 0.148135 1000 -0.119627 0.102973 8.90931 55.4021 -13 26 0 0 1
-0.155488 -0.177151 1000 -0.0558596 0.0361131 8.40034 52.4286 -13 27 0 0 1
0.126024 -0.097127 1000 -0.0383284 -0.0410318 11.5296 58.6246 -13 28 0 0 1
0.0531882 -0.0326129 1000 -0.019331 0.0437204 6.87059 72.357 -13 29 0 0 1
-0.0929624 0.41568 1000 0.109083 0.00305257 13.5693 28.6378 -13 30 0 0 1
1.05016 -1.38976 1000 0.0242377 0.0521413 0.0346906 31.1862 11 30 1001 0 1
0.045032 0.0868057 1000 -0.0034971 0.0257889 10.3226 38.7273 -13 31 0 0 1
-0.0982487 -0.0666174 1000 -0.0019786 0.129304 8.39975 47.5435 -13 32 0 0 1
-0.285486 -1.91012 1000 -0.0102125 0.0331558 0.04524 46.4582 11 32 1001 0 1
0.267712 -0.0152538 1000 -0.124096 0.192191 2.28205 136.923 -13 33 0 0 1
0.339915 -0.329182 1000 -0.0611557 -0.0909477 13.6252 47.8241 -13 34 0 0 1
0.010096 0.260472 1000 0.0106458 -0.112149 4.83328 96.3655 -13 35 0 0 1
0.219297 -0.0284943 1000 -0.0921104 -0.0961937 8.50896 65.7633 -13 36 0 0 1
-0.354008 0.150529 1000 -0.0526964 0.0836203 10.3671 62.4766 -13 37 0 0 1
0.132932 0.0918374 1000 0.00527332 -0.0458733 11.8196 53.6799 -13 38 0 0 1
0.00573516 0.0365392 1000 -0.00411012 0.00785137 9.47157 47.8134 -13 39 0 0 1
0.319068 -0.205677 1000 -0.245888 0.89031 10.8132 53.4822 -13 40 0 0 1
-0.394117 -0.041478 1000 -0.122897 0.0347831 8.85481 43.2761 -13 41 0 0 1
-0.265351 0.180949 1000 0.122366 0.114833 9.86822 57.7014 -13 42 0 0 1
-1.46453 3.79259 1000 -0.016102 0.0309087 0.0275862 59.8561 11 42 1001 0 1
0.0297654 0.0769877 1000 0.0361314 0.0459349 14.4107 36.812 -13 43 0 0 1
-0.180655 -0.030178 1000 0.0420005 0.0565451 11.2403 50.6157 -13 44 0 0 1
-0.0706267 -0.274838 1000 -0.0669127 0.0972172 10.8369 57.5844 -13 45 0 0 1
-0.346436 0.189648 1000 0.0148964 0.094122 4.72132 75.4093 -13 46 0 0 1
0.158186 -0.0828617 1000 0.0297941 -0.0528578 11.3958 39.5179 -13 47 0 0 1
0.747679 0.312431 1000 -0.0407084 -0.213684 6.57803 63.4162 -13 48 0 0 1
-0.0326601 0.00929449 1000 -0.0363968 0.033755 13.262 33.4854 -13 49 0 0 1
0.728761 -0.414869 1000 -0.039712 -0.118106 3.91609 110.465 -13 50 0 0 1
0.1364 -0.154912 1000 0.0134641 -0.138423 8.33517 54.5858 -13 51 0 0 1
-0.271639 0.120364 1000 0.0867963 0.0220519 8.15432 44.9454 -13 53 0 0 1
-0.67015 -0.0492653 1000 0.118215 -0.103233 0.790395 148.255 -13 54 0 0 1
-0.145056 -0.155404 1000 -0.0735619 0.0920404 10.3633 53.9173 -13 55 0 0 1
-0.0463503 0.002828 1000 0.0682452 0.0556933 14.0556 34.4937 -13 56 0 0 1
-3.68098 5.84203 1000 -0.0110286 -0.0535444 0.0324321 43.316 11 56 1001 0 1
-0.0313085 1.46352 1000 0.425913 0.0842997 9.75829 63.8545 -13 57 0 0 1
-0.0775817 -0.463356 1000 -0.0670084 -0.0379465 8.19996 50.308 -13 58 0 0 1
12.1198 3.59136 1000 -0.0146191 0.0209497 0.0480083 41.3594 11 58 1001 0 1
0.0721136 -0.0535216 1000 -0.0626896 0.168462 6.91203 67.9307 -13 59 0 0 1
0.024301 0.150182 1000 0.0810719 -0.0377117 8.19123 64.8166 -13 60 0 0 1
0.0948433 -0.0285661 1000 -0.0348481 -0.0104121 13.94 41.2465 -13 61 0 0 1
-0.0449939 0.0998551 1000 0.0228728 -0.0181541 9.32562 50.9263 -13 62 0 0 1
0.0318732 0.0902619 1000 0.0390786 0.00170878 13.9976 53.861 -13 63 0 0 1
-0.0368892 -0.209738 1000 -0.080809 -0.157015 8.8289 52.8497 -13 64 0 0 1
0.0826993 -0.0526835 1000 0.0340159 -0.0246602 4.86729 74.7264 -13 65 0 0 1
0.199892 0.175561 1000 -0.00263551 -0.0644674 7.33738 61.3734 -13 66 0 0 1
-0.0937197 0.088017 1000 0.0262728 0.05641 11.5017 43.5695 -13 67 0 0 1
0.0161271 0.0108202 1000 0.0850939 -0.0898777 10.604 53.1334 -13 68 0 0 1
0.0629043 0.152596 1000 0.138955 -0.0470976 5.20847 79.4252 -13 69 0 0 1
0.0735595 0.0273494 1000 -0.0262144 0.026261 11.1352 37.2762 -13 70 0 0 1
0.201598 -0.063608 1000 -0.0283227 -0.0373233 11.6574 34.544 -13 71 0 0 1
0.0334338 -0.068244 1000 0.010989 -0.0240807 10.3316 36.0161 -13 72 0 0 1
0.476931 0.0370628 1000 0.147962 -0.134057 5.99191 79.7995 -13 73 0 0 1
-0.0809589 0.150395 1000 0.0565764 0.0126627 10.6721 48.108 -13 74 0 0 1
0.129942 0.462751 1000 0.0620714 0.0240554 7.71298 73.5691 -13 75 0 0 1
-0.0628927 -0.104643 1000 0.0247766 -0.0148571 12.4722 54.2991 -13 76 0 0 1
-0.0446538 0.00540377 1000 0.00207737 0.0218692 8.09648 69.5668 -13 77 0 0 1
0.00223259 -0.0983282 1000 0.0184174 -0.0257298 13.539 40.1007 -13 78 0 0 1
